slug,stars,topics,watchers
samuelhorwitz/typescript,0.0,[],1.0
DmitriyYakovenko/https-github.com-twbs-bootstrap,0.0,[],1.0
GFDRR/geonode-risk-tools,0.0,[],8.0
brion/StatusNet,14.0,[],6.0
mikecanna/test,0.0,[],0.0
Tripela007/AzureTest,0.0,[],1.0
divvy81/my-stk,0.0,[],1.0
johanvos/openjfx-jdk,0.0,[],1.0
eosforce/FORCEIO,9.0,[],4.0
MarconiProtocol/go-methereum,0.0,[],1.0
peterblazejewicz/bootstrap-sass,0.0,[],1.0
giellalt/lang-smn,1.0,"['finite-state-transducers', 'constraint-grammar', 'minority-language', 'nlp', 'language-resources', 'proofing-tools', 'indigenous-languages', 'giellalt-langs', 'maturity-prod', 'geo-nordic', 'langfam-uralic']",20.0
ArcezD/logging-log4j2,0.0,[],1.0
MpLLLL71/pmdc,1.0,[],2.0
NxtLvLSoftware/pmmp,1.0,[],1.0
labordoc/labordoc-next,1.0,[],2.0
esmoyon1/Geonode2.6_Stable,0.0,[],0.0
Ghazanfar1998/asdf,0.0,[],0.0
Ghazanfar1998/qwerty,0.0,[],0.0
spoopadoop/sickchill,0.0,[],0.0
shubhamoscar/bootstrap-rdsarqsnqf7ejlbf,0.0,[],1.0
inovexcorp/mobi,34.0,"['mobi', 'graph', 'sparql', 'rdf', 'semantic-web', 'owl', 'ontology', 'vocabulary']",11.0
cwarden/kettle,40.0,[],12.0
loftuxab/alfresco-community-loftux,9.0,"['alfresco-community', 'alfresco', 'alfresco-server', 'loftux', 'open-source', 'loftux-ab-customer']",9.0
JMVasquezR/eco_kym,0.0,[],1.0
qingqibing/carto.js,0.0,[],1.0
CartoDB/carto.js,416.0,[],119.0
nickhargreaves/CitizenReporter,0.0,[],1.0
duvallee/drone_fc_betaflight,0.0,[],1.0
adamlaska/explosion-spaCy,0.0,[],0.0
dylanht/tinkerpop,0.0,[],1.0
icywind333/material-ui,0.0,[],1.0
kresdian/mui,0.0,[],1.0
jakofranko/tsbs,0.0,[],0.0
lannonbr/vscode-issue-tracker,207.0,[],4.0
oisaorti/Material-Template,0.0,[],1.0
mui-org/material-ui-docs,132.0,['read-only'],9.0
YIXINSHUWU/material-ui,0.0,[],1.0
gentoo/eudev,368.0,['hacktoberfest'],90.0
qunixorg/eudev,0.0,[],2.0
AppStateESS/canopy,2.0,[],5.0
amadeobrands/hub,0.0,[],1.0
Kosmos82/kosmosdarkstar,0.0,[],1.0
halfclutch/racemode,0.0,[],1.0
karatt24/kek,0.0,[],0.0
cobwebos/SD-View,1.0,[],0.0
projectchrono/chrono,1080.0,[],112.0
lk021x/eudev,1.0,[],1.0
devaultcrypto/DeLight,4.0,[],2.0
opencog/link-grammar,299.0,"['english', 'russian', 'nlp', 'parser', 'grammar', 'natural-language', 'natural-language-processing', 'link-grammar']",43.0
dials/dials,36.0,"['crystallography', 'python', 'cpp']",26.0
ndevenish/dials,0.0,[],2.0
chokribr/PIST,0.0,[],2.0
EUDAT-B2SHARE/invenio-old,1.0,[],18.0
Yarin-CamDo/libgphoto2,0.0,[],0.0
MiaZmy1221/go-ethereum,0.0,[],0.0
EttusResearch/usrp-firmware,4.0,[],18.0
khmarbaise/maven-plugins,1.0,[],1.0
chenjuntong/react,0.0,[],1.0
SCW1/dspff,0.0,[],1.0
vikigit/master,0.0,[],2.0
TetoVATech/swot,0.0,[],0.0
Der-Jan/grub-zfs,0.0,[],1.0
bdd/buck-test,0.0,[],1.0
leodemoura/lean_clone,0.0,[],2.0
letanphuc/micropython,0.0,[],1.0
fcecin/infinitum-poc1,0.0,[],1.0
nicolasiensen/labcriativo,0.0,[],0.0
xdxfxdxd/bugfix,0.0,[],0.0
karim-Git/Signal-iOS,0.0,[],0.0
amanjmd/Jabref,1.0,[],1.0
srilakshmichennu/mypipelinecode,0.0,[],0.0
shooding/linphone,0.0,[],1.0
Romutk/lab3-2,0.0,[],1.0
ec-europa/platform-dev,44.0,[],33.0
SkillsFundingAgency/das-employerapprenticeshipsservice,2.0,[],29.0
guptaclp/wiswaweb,0.0,[],1.0
Jasig/SSP-Platform,3.0,[],20.0
iveslana/go-eth,0.0,[],0.0
sduvuru/kv_engine,0.0,[],0.0
stewnorriss/x265,0.0,[],1.0
PiPc2/freedombone,1.0,[],1.0
kvadevack/mpd,0.0,[],1.0
halfline/util-linux,0.0,[],1.0
funtoo/eudev,1.0,[],2.0
ccachain/ccachain,2.0,[],2.0
consulo-savepoint/consulo-scala,2.0,[],2.0
dadams14/terraform,0.0,[],0.0
debjava/baeldungGIT,4.0,[],2.0
mariiapetrova/tomcat,0.0,[],1.0
eoscochain/eoscochain,24.0,[],6.0
TheEntireCommunistManifesto/NewOpenRCT2,0.0,[],3.0
magit/magit,5070.0,"['emacs', 'git', 'magit']",163.0
cth103/dcpomatic,40.0,[],15.0
comhic/DGAC_BETAFLIGHT,0.0,[],0.0
liuzhongming/bootstrap,0.0,[],1.0
29e7e280-0d1c-4bba-98fe-f7cd3ca7500a/jfx-dev,0.0,[],0.0
usnistgov/pscr-openwrt-packages-fork,1.0,[],3.0
kevin58796B/trafficserver,3.0,[],0.0
Manny-Meister/spring-boot3,0.0,[],0.0
akmonk/lab3_2,0.0,[],1.0
nvl1109/buildroot-k70,2.0,[],1.0
c2mon/c2mon,61.0,"['monitoring', 'scada', 'clustering', 'c2mon', 'gnu-lgplv3', 'cern', 'cern-control']",17.0
HypsyNZ/RUNELIGHT,2.0,"['old', 'school', 'runescape', 'client', 'auto-escape', 'auto-space', 'auto-dialogs', 'helper', 'enhanced-blastfurnace', 'enhanced-fightcaves']",1.0
eosswedenorg/DAOBet,0.0,[],2.0
griidc/pelagos,14.0,"['php', 'symfony', 'scientific', 'javascript', 'vue', 'elasticsearch']",5.0
openstack/kolla-ansible,430.0,[],62.0
SouleDesigns/SouleDesigns.Orchard,0.0,[],1.0
MuhRehman/strapi_complete_with_documentation,0.0,[],1.0
yvpaulo/TesteSatrapi,0.0,[],1.0
Lokidiniz/strapii,0.0,[],1.0
lordhujang/strapi,0.0,[],1.0
